location,rent,deposit,room_type,furnishing
BTM Layout,16392,31835,Single,Unfurnished
Whitefield,21067,33168,Double,Unfurnished
Indiranagar,23265,22049,Single,Semi Furnished
Whitefield,10454,25423,Double,Unfurnished
Whitefield,19837,34589,Triple,Semi Furnished
HSR Layout,22039,48299,Single,Fully Furnished
Indiranagar,18965,40932,Single,Semi Furnished
Indiranagar,17762,39492,Single,Fully Furnished
Indiranagar,13056,49855,Single,Semi Furnished
Whitefield,22948,48666,Double,Unfurnished
BTM Layout,16110,27158,Single,Unfurnished
Indiranagar,21773,30248,Triple,Fully Furnished
Whitefield,8502,27400,Triple,Fully Furnished
HSR Layout,14910,39554,Single,Fully Furnished
BTM Layout,20685,29874,Triple,Semi Furnished
HSR Layout,8206,35151,Single,Semi Furnished
BTM Layout,23934,38639,Single,Fully Furnished
Whitefield,16755,21154,Triple,Unfurnished
Koramangala,20383,24499,Single,Semi Furnished
BTM Layout,22820,26295,Triple,Semi Furnished
HSR Layout,15574,42581,Double,Semi Furnished
Whitefield,14374,47767,Single,Fully Furnished
BTM Layout,9678,46272,Double,Fully Furnished
Koramangala,9059,32183,Triple,Fully Furnished
Koramangala,24198,49299,Double,Fully Furnished
Indiranagar,17914,32874,Double,Fully Furnished
Indiranagar,18817,38032,Triple,Unfurnished
HSR Layout,18921,25539,Double,Unfurnished
BTM Layout,17789,29637,Double,Fully Furnished
BTM Layout,24312,40583,Triple,Semi Furnished
Indiranagar,19252,48499,Double,Fully Furnished
BTM Layout,10693,44829,Triple,Unfurnished
BTM Layout,21931,35586,Double,Unfurnished
Koramangala,11627,47759,Triple,Semi Furnished
Indiranagar,24157,22557,Triple,Unfurnished
Whitefield,18173,25592,Double,Fully Furnished
Indiranagar,18230,36482,Double,Semi Furnished
Whitefield,23707,22200,Double,Fully Furnished
Koramangala,19494,34172,Single,Fully Furnished
HSR Layout,9306,22961,Single,Semi Furnished
BTM Layout,14776,34207,Single,Fully Furnished
Koramangala,17474,41357,Triple,Unfurnished
BTM Layout,15526,40817,Double,Fully Furnished
HSR Layout,13530,31969,Triple,Semi Furnished
HSR Layout,11748,22869,Single,Semi Furnished
Koramangala,21545,47810,Double,Semi Furnished
HSR Layout,8663,48367,Triple,Fully Furnished
Whitefield,9998,37340,Double,Semi Furnished
HSR Layout,15994,33992,Triple,Semi Furnished
BTM Layout,11304,48643,Double,Fully Furnished
BTM Layout,21808,44736,Single,Unfurnished
BTM Layout,14585,25699,Single,Fully Furnished
BTM Layout,19649,43328,Double,Semi Furnished
Whitefield,9636,40877,Triple,Semi Furnished
Indiranagar,12737,45876,Single,Fully Furnished
Koramangala,22555,41295,Single,Unfurnished
BTM Layout,21877,23987,Single,Semi Furnished
HSR Layout,8854,46103,Double,Semi Furnished
BTM Layout,13855,42399,Double,Semi Furnished
HSR Layout,15392,33446,Triple,Fully Furnished
HSR Layout,21949,21218,Triple,Semi Furnished
BTM Layout,13791,40880,Triple,Unfurnished
Whitefield,12931,24735,Double,Semi Furnished
HSR Layout,8202,31296,Double,Semi Furnished
HSR Layout,19447,47311,Triple,Unfurnished
BTM Layout,20688,24555,Triple,Semi Furnished
HSR Layout,12389,29146,Double,Fully Furnished
HSR Layout,10327,28050,Triple,Fully Furnished
BTM Layout,16004,32757,Single,Fully Furnished
BTM Layout,15777,39830,Double,Unfurnished
Koramangala,8197,37429,Triple,Semi Furnished
Whitefield,9930,26893,Double,Fully Furnished
Whitefield,19774,38077,Single,Unfurnished
HSR Layout,23087,34373,Double,Semi Furnished
Whitefield,17339,34565,Double,Unfurnished
HSR Layout,19589,23436,Double,Fully Furnished
Koramangala,23708,28754,Double,Fully Furnished
BTM Layout,10811,30677,Single,Fully Furnished
BTM Layout,22243,25895,Double,Unfurnished
BTM Layout,14546,39738,Double,Unfurnished
Whitefield,9986,36609,Triple,Fully Furnished
Koramangala,16338,35636,Double,Unfurnished
Whitefield,19411,41277,Triple,Fully Furnished
Whitefield,10911,27022,Single,Fully Furnished
Koramangala,9734,29151,Single,Semi Furnished
Koramangala,16680,25600,Single,Unfurnished
Koramangala,13759,49124,Single,Fully Furnished
Koramangala,10385,47643,Triple,Fully Furnished
BTM Layout,19111,27996,Double,Unfurnished
Indiranagar,12736,29007,Single,Semi Furnished
Indiranagar,9802,32946,Double,Semi Furnished
Koramangala,16155,44067,Triple,Fully Furnished
Indiranagar,16120,24642,Triple,Unfurnished
Indiranagar,14616,49887,Triple,Semi Furnished
Koramangala,22257,31312,Single,Unfurnished
Indiranagar,22486,27679,Double,Unfurnished
Whitefield,24646,28208,Double,Fully Furnished
HSR Layout,22075,43723,Double,Semi Furnished
HSR Layout,17208,45819,Triple,Fully Furnished
Koramangala,24371,38589,Single,Semi Furnished
